Truth,Decoded
Salve quanto costa quell articolo,salve quanto costa e articolo
E in offerta costa dieci euro,pero rtaroti due criciuto
Tutto bene grazie,tu bene grazie
Prendiamo un caffe al bar,prendiamo un afeal bar
"Certo volentieri, io lo prendero macchiato",certo volentieri io lo prendero macchiato
A che ora arriva il pullman,a che ora va io puluae
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra salve minuto
Quanto costa il biglietto,quanto costa il biglietto
Purtroppo non lo so pero potresti chiedere all autista,puropo non lo so pero potresti chiedere al autista
Va bene grazie lo stesso,va bene lo grazie e lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetvorori comprarne un
Certo ecco a lei vuole un sacchetto,certo ecco lo vuole un sacchetto
Si grazie e arrivederci,si grazie e arrivederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno iosons mario
Buonasera io sono Mario,buonasera mario
Piacere Luigi come stai,piacere luigi come stai
Tutto bene tu,tutto bene tu
