Truth,Decoded
Salve quanto costa quell articolo,sabegrocto
E in offerta costa dieci euro,pigraietr
Tutto bene grazie,pigretati
Prendiamo un caffe al bar,prentdaoa a caffe bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e rerete e a
Dovrebbe arrivare tra qualche minuto,prego io grazie certo
Quanto costa il biglietto,pereti
Purtroppo non lo so pero potresti chiedere all autista,pigretita
Va bene grazie lo stesso,sigrat io io
Prego,sigreagr
Perfetto vorrei comprarne due.,prego reareia
Certo ecco a lei vuole un sacchetto,a grazie certo
Si grazie e arrivederci,piretar
Le auguro una buona giornata,tra ora io come costa
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prego a io a
Piacere Luigi come stai,pero un io stai
Tutto bene tu,sgratsi e io
