Truth,Decoded
Salve quanto costa quell articolo,lenlna a io stai il io certo
E in offerta costa dieci euro,bene offerta io a dieci euro
Tutto bene grazie,tutto bene e grazie
Prendiamo un caffe al bar,preodroe come lo in
"Certo volentieri, io lo prendero macchiato",certo io eivrio lo dndeonmac mario
A che ora arriva il pullman,io a afrc il pulata
Dovrebbe arrivare tra qualche minuto,dovrebbe aratre tra qualche minuto
Quanto costa il biglietto,bene a si le io
Purtroppo non lo so pero potresti chiedere all autista,ptotoponeo io otirehe a
Va bene grazie lo stesso,doabenbefaze due dtseto
Prego,un io
Perfetto vorrei comprarne due.,peretotri comprarne due
Certo ecco a lei vuole un sacchetto,ecco a le vuole un nuaen io
Si grazie e arrivederci,e tra si seiei
Le auguro una buona giornata,leaguro un buona io giornata
Buongiorno io sono Mario,buona sono sono mario
Buonasera io sono Mario,uenoua bene io sono grazie
Piacere Luigi come stai,pireuome stai
Tutto bene tu,io bene tu
