Truth,Decoded
Salve quanto costa quell articolo,a latuarcto
E in offerta costa dieci euro,e grazie io
Tutto bene grazie,prut a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pretar
A che ora arriva il pullman,e raerei bar
Dovrebbe arrivare tra qualche minuto,a bene io grlre certo
Quanto costa il biglietto,e rato
Purtroppo non lo so pero potresti chiedere all autista,prego a
Va bene grazie lo stesso,e a io io
Prego,prego
Perfetto vorrei comprarne due.,prego bar e
Certo ecco a lei vuole un sacchetto,e e lo
Si grazie e arrivederci,piretar
Le auguro una buona giornata,paretuoaro io come ora
Buongiorno io sono Mario,pregoario
Buonasera io sono Mario,prenir e io sono a
Piacere Luigi come stai,piacere e e stai
Tutto bene tu,e a le io
