Truth,Decoded
Salve quanto costa quell articolo,sabegroto
E in offerta costa dieci euro,pigrazi e
Tutto bene grazie,pigretai
Prendiamo un caffe al bar,perentdaoa un caffe bar
"Certo volentieri, io lo prendero macchiato",sretr
A che ora arriva il pullman,e e e e a
Dovrebbe arrivare tra qualche minuto,prego io grazie io
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,pigretatr
Va bene grazie lo stesso,sigrat io il
Prego,sigrutgi
Perfetto vorrei comprarne due.,pirete rearei
Certo ecco a lei vuole un sacchetto,a grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pretdorto come bar
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,prenion io io a
Piacere Luigi come stai,piacere io io e io e stai
Tutto bene tu,si graztsi le si
