Truth,Decoded
Salve quanto costa quell articolo,a leuagrocosto
E in offerta costa dieci euro,e grazie e io
Tutto bene grazie,e e io a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pratr
A che ora arriva il pullman,e e rive pulr
Dovrebbe arrivare tra qualche minuto,prego io grazie dcuto
Quanto costa il biglietto,pero io
Purtroppo non lo so pero potresti chiedere all autista,prego io e io lo autista
Va bene grazie lo stesso,a a io io io
Prego,prego
Perfetto vorrei comprarne due.,tra oeiacren io
Certo ecco a lei vuole un sacchetto,renido si a io
Si grazie e arrivederci,piretr
Le auguro una buona giornata,a rfeto quoao io che lo
Buongiorno io sono Mario,preongino so mario
Buonasera io sono Mario,prego io io sono a
Piacere Luigi come stai,piacere io io e io stai
Tutto bene tu,a lo io
