Truth,Decoded
Salve quanto costa quell articolo,si ragrto
E in offerta costa dieci euro,si grazie
Tutto bene grazie,pigruti
Prendiamo un caffe al bar,sareta a a a le amte
"Certo volentieri, io lo prendero macchiato",sigrui
A che ora arriva il pullman,si grazie a
Dovrebbe arrivare tra qualche minuto,sranta a il lo
Quanto costa il biglietto,si gruti
Purtroppo non lo so pero potresti chiedere all autista,io gruti
Va bene grazie lo stesso,pigru e
Prego,sigrui
Perfetto vorrei comprarne due.,piruge e e io
Certo ecco a lei vuole un sacchetto,grazie io
Si grazie e arrivederci,io grui
Le auguro una buona giornata,sigrazr si a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pireie stai
Tutto bene tu,pigruzie io
