Truth,Decoded
Salve quanto costa quell articolo,a lei uagroctro
E in offerta costa dieci euro,si grazie io
Tutto bene grazie,sirute mario
Prendiamo un caffe al bar,pvrenamo un che al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e raieriti tra
Dovrebbe arrivare tra qualche minuto,prendero io grazie due
Quanto costa il biglietto,e ratario
Purtroppo non lo so pero potresti chiedere all autista,piae e lo autista
Va bene grazie lo stesso,si a io certo
Prego,prego
Perfetto vorrei comprarne due.,tra io bar le
Certo ecco a lei vuole un sacchetto,a graigi lo
Si grazie e arrivederci,pirei
Le auguro una buona giornata,peretf sono a come lo
Buongiorno io sono Mario,prungi so mario
Buonasera io sono Mario,priniaioiaoc io io
Piacere Luigi come stai,lei e io stai
Tutto bene tu,a graztsi lo io
