Truth,Decoded
Salve quanto costa quell articolo,sregroto
E in offerta costa dieci euro,pigraziegi
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,preneaoa a caffe bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,pigreze si
Dovrebbe arrivare tra qualche minuto,prego io realie tutto
Quanto costa il biglietto,pigruati
Purtroppo non lo so pero potresti chiedere all autista,pigreti
Va bene grazie lo stesso,si io
Prego,pigrugi
Perfetto vorrei comprarne due.,prueoe e due
Certo ecco a lei vuole un sacchetto,a grazie io
Si grazie e arrivederci,pireari
Le auguro una buona giornata,prego io tu
Buongiorno io sono Mario,preario
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pero ireai
Tutto bene tu,siraziso lo si
