Truth,Decoded
Salve quanto costa quell articolo,va benuaero costa
E in offerta costa dieci euro,a grazie e e io
Tutto bene grazie,prego a
Prendiamo un caffe al bar,prendiamo un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e bene e bar
Dovrebbe arrivare tra qualche minuto,prego io grazie lo
Quanto costa il biglietto,pratoti
Purtroppo non lo so pero potresti chiedere all autista,prego io
Va bene grazie lo stesso,a a lo ileto
Prego,prego
Perfetto vorrei comprarne due.,prego io creiarlia
Certo ecco a lei vuole un sacchetto,a grazie lei
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego ora io come glata
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prenin io io sono a
Piacere Luigi come stai,piereni io io e stai
Tutto bene tu,stai si lo io
