Truth,Decoded
Salve quanto costa quell articolo,a reuagro io
E in offerta costa dieci euro,si grazie e si
Tutto bene grazie,piret grazie
Prendiamo un caffe al bar,perendaoa a caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,io io efrte e a
Dovrebbe arrivare tra qualche minuto,bene io io grazie lo
Quanto costa il biglietto,pieretrtoti
Purtroppo non lo so pero potresti chiedere all autista,pieret a
Va bene grazie lo stesso,sigreat il
Prego,pigreai
Perfetto vorrei comprarne due.,piretoe io bene arriva
Certo ecco a lei vuole un sacchetto,a grazie e lei
Si grazie e arrivederci,piareai
Le auguro una buona giornata,prego ora io come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,pereni io io io io a
Piacere Luigi come stai,pero io io si e stai
Tutto bene tu,a tra si le io
