Truth,Decoded
Salve quanto costa quell articolo,prego io
E in offerta costa dieci euro,pigruiegi
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prfentaoa un che bar
"Certo volentieri, io lo prendero macchiato",piretai
A che ora arriva il pullman,pigreze e
Dovrebbe arrivare tra qualche minuto,prego io e lei lo
Quanto costa il biglietto,pigruti
Purtroppo non lo so pero potresti chiedere all autista,pigretai
Va bene grazie lo stesso,sigreti
Prego,pigrugi
Perfetto vorrei comprarne due.,piretoe e lei
Certo ecco a lei vuole un sacchetto,grazie si
Si grazie e arrivederci,pireai
Le auguro una buona giornata,piretro io io
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pretin a
Piacere Luigi come stai,pierei retiai
Tutto bene tu,sigrazito le io
