Truth,Decoded
Salve quanto costa quell articolo,sabetugro costa
E in offerta costa dieci euro,si grazie si
Tutto bene grazie,pirete stai
Prendiamo un caffe al bar,pvrenrdaoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e reaet e bar
Dovrebbe arrivare tra qualche minuto,prego io grazie lo
Quanto costa il biglietto,e ratrti
Purtroppo non lo so pero potresti chiedere all autista,piret a
Va bene grazie lo stesso,si reati io
Prego,prego
Perfetto vorrei comprarne due.,prego io creiarlia
Certo ecco a lei vuole un sacchetto,a grazie lei
Si grazie e arrivederci,piareai
Le auguro una buona giornata,pareat ora io come bar
Buongiorno io sono Mario,prengono mario
Buonasera io sono Mario,prenin io sono a
Piacere Luigi come stai,piereni giore stai
Tutto bene tu,a gratsi le io
