Truth,Decoded
Salve quanto costa quell articolo,a e auguro io
E in offerta costa dieci euro,si grazie
Tutto bene grazie,prut e lo mario
Prendiamo un caffe al bar,pvrenaoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e reaierati e bar
Dovrebbe arrivare tra qualche minuto,prendero si grazie lo
Quanto costa il biglietto,e ratrt io
Purtroppo non lo so pero potresti chiedere all autista,si un lo
Va bene grazie lo stesso,a a io io io io
Prego,prutgi
Perfetto vorrei comprarne due.,grazie osriari io
Certo ecco a lei vuole un sacchetto,a graigi io
Si grazie e arrivederci,piregti
Le auguro una buona giornata,parfeat sono e come lo
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prego io io io mario
Piacere Luigi come stai,piacere io si e stai
Tutto bene tu,a ratsi lo e io
