Truth,Decoded
Salve quanto costa quell articolo,varegroto
E in offerta costa dieci euro,sigrut e
Tutto bene grazie,pigrutai
Prendiamo un caffe al bar,prentaoa a caffe all
"Certo volentieri, io lo prendero macchiato",sretatr
A che ora arriva il pullman,si e e e a
Dovrebbe arrivare tra qualche minuto,vreneo io e le lo
Quanto costa il biglietto,pigruati
Purtroppo non lo so pero potresti chiedere all autista,pigrutiatr
Va bene grazie lo stesso,siretl il
Prego,sigruagi
Perfetto vorrei comprarne due.,prutoe io e io
Certo ecco a lei vuole un sacchetto,a grazie lo
Si grazie e arrivederci,pireazi
Le auguro una buona giornata,prego come liatr
Buongiorno io sono Mario,preario
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pierenin io stai
Tutto bene tu,sigraztso le si
