Truth,Decoded
Salve quanto costa quell articolo,a leiuarococtso
E in offerta costa dieci euro,e grazie si
Tutto bene grazie,e tra lo lo grazie
Prendiamo un caffe al bar,pvrendaoa a caffe al bar
"Certo volentieri, io lo prendero macchiato",pratai
A che ora arriva il pullman,e e a dieci lo lman
Dovrebbe arrivare tra qualche minuto,e reneno si grazie minuto
Quanto costa il biglietto,pero lo
Purtroppo non lo so pero potresti chiedere all autista,pruatol io io lo autista
Va bene grazie lo stesso,a a io lo
Prego,prego
Perfetto vorrei comprarne due.,prego voceiacrn io
Certo ecco a lei vuole un sacchetto,a lei si gcieo
Si grazie e arrivederci,piregiai
Le auguro una buona giornata,a retquaro a cmale glan
Buongiorno io sono Mario,preongio io mario
Buonasera io sono Mario,prenioi io costa a
Piacere Luigi come stai,piacere io io io stai
Tutto bene tu,a reatcas le il io
