Truth,Decoded
Salve quanto costa quell articolo,si gragri
E in offerta costa dieci euro,si grueai
Tutto bene grazie,siagruai
Prendiamo un caffe al bar,tra a e e al mate
"Certo volentieri, io lo prendero macchiato",si grazie
A che ora arriva il pullman,si grazie
Dovrebbe arrivare tra qualche minuto,siagraz il il
Quanto costa il biglietto,si gruezi
Purtroppo non lo so pero potresti chiedere all autista,io tu stai
Va bene grazie lo stesso,si gruei
Prego,si grazie
Perfetto vorrei comprarne due.,siagraze e lo io
Certo ecco a lei vuole un sacchetto,si gruei
Si grazie e arrivederci,si grazie
Le auguro una buona giornata,siagraeai
Buongiorno io sono Mario,sigraeagi
Buonasera io sono Mario,sigrae io
Piacere Luigi come stai,io gruei
Tutto bene tu,si grazie e
