Truth,Decoded
Salve quanto costa quell articolo,sirarto
E in offerta costa dieci euro,pigruieti
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,prego a a a le le
"Certo volentieri, io lo prendero macchiato",pigrete
A che ora arriva il pullman,si e e e a
Dovrebbe arrivare tra qualche minuto,srant a fiale io
Quanto costa il biglietto,si gruto
Purtroppo non lo so pero potresti chiedere all autista,io e una
Va bene grazie lo stesso,pigre e
Prego,pigrutr
Perfetto vorrei comprarne due.,pirunge e due io
Certo ecco a lei vuole un sacchetto,sigraeie io
Si grazie e arrivederci,pigretai
Le auguro una buona giornata,pirer e tra
Buongiorno io sono Mario,prego
Buonasera io sono Mario,lei bar
Piacere Luigi come stai,pero e autista
Tutto bene tu,pigruze e si
