Truth,Decoded
Salve quanto costa quell articolo,a le auguro costa
E in offerta costa dieci euro,si grazie
Tutto bene grazie,prego e io grazie
Prendiamo un caffe al bar,pvrenrdamoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",preatar
A che ora arriva il pullman,e grazie a dieci e un
Dovrebbe arrivare tra qualche minuto,prenen io si grazie io
Quanto costa il biglietto,peratrtre io
Purtroppo non lo so pero potresti chiedere all autista,pierft io e lo lo autista
Va bene grazie lo stesso,e lei ora lo
Prego,prego
Perfetto vorrei comprarne due.,prego roreicari lei
Certo ecco a lei vuole un sacchetto,a graiugi io
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,paerfetov euro come due lo
Buongiorno io sono Mario,prungio so mario
Buonasera io sono Mario,preniri bar io e sono bar
Piacere Luigi come stai,piacere il io e e stai
Tutto bene tu,a gratiosi le lo io
