Truth,Decoded
Salve quanto costa quell articolo,sirero
E in offerta costa dieci euro,pigreieti
Tutto bene grazie,pireti
Prendiamo un caffe al bar,prfe io a le bar
"Certo volentieri, io lo prendero macchiato",piretr
A che ora arriva il pullman,pero e
Dovrebbe arrivare tra qualche minuto,prego il frelie le
Quanto costa il biglietto,pigruti
Purtroppo non lo so pero potresti chiedere all autista,pigrete
Va bene grazie lo stesso,pero io
Prego,pigreai
Perfetto vorrei comprarne due.,pireoe e e
Certo ecco a lei vuole un sacchetto,sraieie lo
Si grazie e arrivederci,pireazi
Le auguro una buona giornata,pirer si io
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pirein a
Piacere Luigi come stai,pirei bar
Tutto bene tu,pirei e le si
