Truth,Decoded
Salve quanto costa quell articolo,sareaiuaerococto
E in offerta costa dieci euro,e grazie e
Tutto bene grazie,e a stai
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pratr
A che ora arriva il pullman,e a dieci lo pulr
Dovrebbe arrivare tra qualche minuto,a renenon io grazie io
Quanto costa il biglietto,certo
Purtroppo non lo so pero potresti chiedere all autista,pero e come autista
Va bene grazie lo stesso,e a io io
Prego,piretgi
Perfetto vorrei comprarne due.,prego oeriarenir
Certo ecco a lei vuole un sacchetto,a rando si vlraciei
Si grazie e arrivederci,pirertr
Le auguro una buona giornata,saretuoarto io che lo
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prego io io sono a
Piacere Luigi come stai,piacere come stai
Tutto bene tu,a le io
