Truth,Decoded
Salve quanto costa quell articolo,a laiuagrococto
E in offerta costa dieci euro,e grazie e
Tutto bene grazie,e tra a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pratr
A che ora arriva il pullman,e reaie rivcti e bar
Dovrebbe arrivare tra qualche minuto,pereneo io grazie due
Quanto costa il biglietto,perati
Purtroppo non lo so pero potresti chiedere all autista,prut io e io lo autista
Va bene grazie lo stesso,io reazi io
Prego,prego
Perfetto vorrei comprarne due.,pereat voereiarn lei
Certo ecco a lei vuole un sacchetto,a ranido un un si
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,sarfetquanto come cmvle tra
Buongiorno io sono Mario,buongiorno mario
Buonasera io sono Mario,preniri ecco sono a
Piacere Luigi come stai,piacere io come stai
Tutto bene tu,pratics le che
