Truth,Decoded
Salve quanto costa quell articolo,salve quanto io costa quell articolo
E in offerta costa dieci euro,in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prendiamo un che al bar
"Certo volentieri, io lo prendero macchiato",certo olenreieri io lo prendero macchiato
A che ora arriva il pullman,a che ora mario il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,qtuatcsta il biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtopo non lo io io otrestrihre aisto
Va bene grazie lo stesso,va benerze lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Si grazie e arrivederci,va bene grarievederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,bruonoiornio io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacereuigome stai
Tutto bene tu,tutto bene tu
