Truth,Decoded
Salve quanto costa quell articolo,a reat uangro io
E in offerta costa dieci euro,si grazie e e io
Tutto bene grazie,sigrete e e grazie
Prendiamo un caffe al bar,pvrenedamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preteti
A che ora arriva il pullman,e greai e faeti e bar
Dovrebbe arrivare tra qualche minuto,vreneno io grazie lo
Quanto costa il biglietto,e a si
Purtroppo non lo so pero potresti chiedere all autista,pieret e lo
Va bene grazie lo stesso,si tra io il io gilti
Prego,pigregi
Perfetto vorrei comprarne due.,pereaeoe io e iarilia
Certo ecco a lei vuole un sacchetto,a grazie lei
Si grazie e arrivederci,piaregai
Le auguro una buona giornata,sareat certo io come lo
Buongiorno io sono Mario,prengiono mario
Buonasera io sono Mario,pierenigi io costa a
Piacere Luigi come stai,piacere io si lei stai
Tutto bene tu,a grazie si le si
