Truth,Decoded
Salve quanto costa quell articolo,bene io io stai il articolo
E in offerta costa dieci euro,bene offerta costa dieci euro
Tutto bene grazie,tutto bene io grazie
Prendiamo un caffe al bar,prendirale mfreal bar
"Certo volentieri, io lo prendero macchiato",cereovo reievrio lo prenderomachato
A che ora arriva il pullman,e ora mario il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,autista bene io
Purtroppo non lo so pero potresti chiedere all autista,prtonronso io otrisrierehe a
Va bene grazie lo stesso,doavbenberze lo so
Prego,prego
Perfetto vorrei comprarne due.,pceretrvori comprarne due
Certo ecco a lei vuole un sacchetto,certo io a lei vuole un salve certo
Si grazie e arrivederci,a e tra e e ederedeci
Le auguro una buona giornata,auguro una buona giornata
Buongiorno io sono Mario,bronoproni io sono mario
Buonasera io sono Mario,tenasera io sono grazie
Piacere Luigi come stai,piacereuome stai
Tutto bene tu,io bene tu
