Truth,Decoded
Salve quanto costa quell articolo,salve uagrococto
E in offerta costa dieci euro,e grazie e
Tutto bene grazie,prego io mario
Prendiamo un caffe al bar,pvrendamoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e e e una
Dovrebbe arrivare tra qualche minuto,prego io io tutto
Quanto costa il biglietto,tra si
Purtroppo non lo so pero potresti chiedere all autista,prego lo
Va bene grazie lo stesso,a a e io cileto
Prego,prego
Perfetto vorrei comprarne due.,tra reiare lei
Certo ecco a lei vuole un sacchetto,e grazie lo io
Si grazie e arrivederci,pirear
Le auguro una buona giornata,perfetto quanto come come glan
Buongiorno io sono Mario,preongin io mario
Buonasera io sono Mario,prego io io a
Piacere Luigi come stai,piacere io e stai
Tutto bene tu,srats lo e
