Truth,Decoded
Salve quanto costa quell articolo,sareuro io
E in offerta costa dieci euro,si grui e si
Tutto bene grazie,pero si
Prendiamo un caffe al bar,prendiamo a caffe bar
"Certo volentieri, io lo prendero macchiato",pireti
A che ora arriva il pullman,si e e e a
Dovrebbe arrivare tra qualche minuto,prego io grazie io
Quanto costa il biglietto,pieretrti
Purtroppo non lo so pero potresti chiedere all autista,piaeretati
Va bene grazie lo stesso,si tra si
Prego,pireai
Perfetto vorrei comprarne due.,pireteo io erarli
Certo ecco a lei vuole un sacchetto,a grazie si
Si grazie e arrivederci,piareai
Le auguro una buona giornata,pireat ora come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,pierenin io io a
Piacere Luigi come stai,piereoi io e stai
Tutto bene tu,si grats si
