Truth,Decoded
Salve quanto costa quell articolo,a le auguro costa
E in offerta costa dieci euro,si grazie io
Tutto bene grazie,prut e e grazie
Prendiamo un caffe al bar,pvrendamoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e reairoce una
Dovrebbe arrivare tra qualche minuto,vreneno io grazie lo
Quanto costa il biglietto,pratr a
Purtroppo non lo so pero potresti chiedere all autista,pieret lo autista
Va bene grazie lo stesso,a a io certo
Prego,prego
Perfetto vorrei comprarne due.,prego oceiari lei
Certo ecco a lei vuole un sacchetto,a graigi lo
Si grazie e arrivederci,pirei
Le auguro una buona giornata,e rfeato sono io come lo
Buongiorno io sono Mario,pruongion so mario
Buonasera io sono Mario,prenioi io sono a
Piacere Luigi come stai,pero io io e stai
Tutto bene tu,a rats le e
