Truth,Decoded
Salve quanto costa quell articolo,prego io
E in offerta costa dieci euro,pigrazi e
Tutto bene grazie,pigretai
Prendiamo un caffe al bar,prendaoa a caffe bar
"Certo volentieri, io lo prendero macchiato",piretar
A che ora arriva il pullman,si e e e bar
Dovrebbe arrivare tra qualche minuto,bene io io grazie lo
Quanto costa il biglietto,pigruati
Purtroppo non lo so pero potresti chiedere all autista,pigreti
Va bene grazie lo stesso,sigretiti
Prego,sigruai
Perfetto vorrei comprarne due.,prego un tu e lei
Certo ecco a lei vuole un sacchetto,a grazie lo
Si grazie e arrivederci,pireai
Le auguro una buona giornata,pretfto come bar
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pirei io e stai
Tutto bene tu,sigrazi stai le si
