Truth,Decoded
Salve quanto costa quell articolo,all a quanto stai e mario
E in offerta costa dieci euro,io offerta costa dieci euro
Tutto bene grazie,tutto bene io grazie
Prendiamo un caffe al bar,prenedia un e al bar
"Certo volentieri, io lo prendero macchiato",bene io a reievrio lo prenderompachato
A che ora arriva il pullman,a che ora mario il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,tuatcstaia biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtopononso io io otrstrehrede io
Va bene grazie lo stesso,voavbenberze lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,bene io a lei vuole un salve io
Si grazie e arrivederci,va e tra e ederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buruonoionrni io sono mario
Buonasera io sono Mario,tnoasera io sono mario
Piacere Luigi come stai,piacere e stai
Tutto bene tu,tutto bene tu
