Truth,Decoded
Salve quanto costa quell articolo,salve quanto io stai quell articolo
E in offerta costa dieci euro,e in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prendmia un che al bar
"Certo volentieri, io lo prendero macchiato",certo io lenreieri io lo prenderomachiato
A che ora arriva il pullman,a che ora arriva il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,qtuantcosta il biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtopo non lo io io otrestichrede atiato
Va bene grazie lo stesso,va benegraze lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo ecco a lei vuole un sacchetto
Si grazie e arrivederci,va bene rariesevederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buongiorno io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacereuigiocome stai
Tutto bene tu,tu bene tu
