Truth,Decoded
Salve quanto costa quell articolo,sregroto
E in offerta costa dieci euro,pigruiegi
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prendaoa un caffe bar
"Certo volentieri, io lo prendero macchiato",pireti
A che ora arriva il pullman,pirer e a
Dovrebbe arrivare tra qualche minuto,prego io grazie io
Quanto costa il biglietto,pigruti
Purtroppo non lo so pero potresti chiedere all autista,pigretiata
Va bene grazie lo stesso,pigrei io
Prego,pigregi
Perfetto vorrei comprarne due.,pireteoe e reiti
Certo ecco a lei vuole un sacchetto,grazie si
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego come bar
Buongiorno io sono Mario,prego
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pierei iretiai
Tutto bene tu,pigrezisto le si
