Truth,Decoded
Salve quanto costa quell articolo,a e auguro costa
E in offerta costa dieci euro,si grazie e
Tutto bene grazie,sret io mario
Prendiamo un caffe al bar,pvrendaoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e retoeore lo ulmar
Dovrebbe arrivare tra qualche minuto,prendero io grazie io
Quanto costa il biglietto,e rato si
Purtroppo non lo so pero potresti chiedere all autista,io e e lo
Va bene grazie lo stesso,a a io il gilti
Prego,pigregi
Perfetto vorrei comprarne due.,prego io che io mario lo
Certo ecco a lei vuole un sacchetto,a graivgi lo
Si grazie e arrivederci,piregai
Le auguro una buona giornata,perfetto mario io come bar
Buongiorno io sono Mario,prego io mario
Buonasera io sono Mario,prenioi io sono a
Piacere Luigi come stai,picereio io io stai
Tutto bene tu,a grats le si
