Truth,Decoded
Salve quanto costa quell articolo,sratugrocto
E in offerta costa dieci euro,pigreiegi
Tutto bene grazie,piretgrai
Prendiamo un caffe al bar,prendaoa a caffe bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,prego bar
Dovrebbe arrivare tra qualche minuto,prenen io io gfrerie io
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,piereti
Va bene grazie lo stesso,sirati io
Prego,prego
Perfetto vorrei comprarne due.,prego criarei
Certo ecco a lei vuole un sacchetto,a grazie si
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego ora e come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prego io io a
Piacere Luigi come stai,pierei io stai
Tutto bene tu,srats lo si
