Truth,Decoded
Salve quanto costa quell articolo,salatuarococto
E in offerta costa dieci euro,peraziei
Tutto bene grazie,tra a
Prendiamo un caffe al bar,prenamoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",pratr
A che ora arriva il pullman,e lei rice pullman
Dovrebbe arrivare tra qualche minuto,prego io io io
Quanto costa il biglietto,certo
Purtroppo non lo so pero potresti chiedere all autista,tra io io
Va bene grazie lo stesso,e stai lei
Prego,pgratgi
Perfetto vorrei comprarne due.,tra oeiarinlio
Certo ecco a lei vuole un sacchetto,e grazie si
Si grazie e arrivederci,piretai
Le auguro una buona giornata,parfeatuarto io come alata
Buongiorno io sono Mario,pregioario
Buonasera io sono Mario,prego io sono a
Piacere Luigi come stai,piacere come stai
Tutto bene tu,tra io
