Truth,Decoded
Salve quanto costa quell articolo,sreugro io
E in offerta costa dieci euro,pigraziegi
Tutto bene grazie,sigrutai
Prendiamo un caffe al bar,prentao un caffe bar
"Certo volentieri, io lo prendero macchiato",sretr
A che ora arriva il pullman,si rerer e a
Dovrebbe arrivare tra qualche minuto,prego io grazie e
Quanto costa il biglietto,piruato
Purtroppo non lo so pero potresti chiedere all autista,pigreti
Va bene grazie lo stesso,siret e io
Prego,pigrugi
Perfetto vorrei comprarne due.,prego un e e
Certo ecco a lei vuole un sacchetto,a grazie io
Si grazie e arrivederci,pireazi
Le auguro una buona giornata,pretoro io io bar
Buongiorno io sono Mario,pruario
Buonasera io sono Mario,prego bar
Piacere Luigi come stai,piereio girear
Tutto bene tu,sigratito le si
