Truth,Decoded
Salve quanto costa quell articolo,srarto
E in offerta costa dieci euro,pigreieti
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,prfetaoa a le bar
"Certo volentieri, io lo prendero macchiato",pigretr
A che ora arriva il pullman,si grezerta
Dovrebbe arrivare tra qualche minuto,prego ifrelie io
Quanto costa il biglietto,pigruto
Purtroppo non lo so pero potresti chiedere all autista,pigretite
Va bene grazie lo stesso,sigretiti
Prego,pigrugi
Perfetto vorrei comprarne due.,prego drite
Certo ecco a lei vuole un sacchetto,sigraiei io
Si grazie e arrivederci,pigreazi
Le auguro una buona giornata,piretfr si io
Buongiorno io sono Mario,preario
Buonasera io sono Mario,preirar
Piacere Luigi come stai,pirereiar
Tutto bene tu,sigrazieo io
