Truth,Decoded
Salve quanto costa quell articolo,siragrto
E in offerta costa dieci euro,pigruzeti
Tutto bene grazie,piagruti
Prendiamo un caffe al bar,sareta a a a le clmata
"Certo volentieri, io lo prendero macchiato",piagruti
A che ora arriva il pullman,pero e a
Dovrebbe arrivare tra qualche minuto,sranta io che lei
Quanto costa il biglietto,io grueti
Purtroppo non lo so pero potresti chiedere all autista,piagreti
Va bene grazie lo stesso,piaru e
Prego,piagruti
Perfetto vorrei comprarne due.,pirue e e io
Certo ecco a lei vuole un sacchetto,sirueie io
Si grazie e arrivederci,piagruzi
Le auguro una buona giornata,pirate io si
Buongiorno io sono Mario,pigrueato
Buonasera io sono Mario,preieatr
Piacere Luigi come stai,pirei e e
Tutto bene tu,piruze lei
