Truth,Decoded
Salve quanto costa quell articolo,salve quanto io stai e articolo
E in offerta costa dieci euro,io offerta costa dieci euro
Tutto bene grazie,tutto bene io grazie
Prendiamo un caffe al bar,prendiamo un e al bar
"Certo volentieri, io lo prendero macchiato",bene io reierio io prenderompachato
A che ora arriva il pullman,a e ora mario il una
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,tutto a bilie io
Purtroppo non lo so pero potresti chiedere all autista,prtononso otrstihriehe io
Va bene grazie lo stesso,voavbeberze lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarnedue
Certo ecco a lei vuole un sacchetto,certo io a lei vuole un salve io
Si grazie e arrivederci,va e tra rire ederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buguonoiorni io sono mario
Buonasera io sono Mario,buona tra io sono mario
Piacere Luigi come stai,piacere come stai
Tutto bene tu,tu bene tu
