Truth,Decoded
Salve quanto costa quell articolo,sareugroto
E in offerta costa dieci euro,e grazie si
Tutto bene grazie,sreti
Prendiamo un caffe al bar,pvrenaoa un caffe bar
"Certo volentieri, io lo prendero macchiato",sretgi
A che ora arriva il pullman,e e e bar
Dovrebbe arrivare tra qualche minuto,vareneo io grlre lo
Quanto costa il biglietto,e ratrti
Purtroppo non lo so pero potresti chiedere all autista,pieretati
Va bene grazie lo stesso,a a io
Prego,pigregi
Perfetto vorrei comprarne due.,tra eseiarir
Certo ecco a lei vuole un sacchetto,a grazie lo
Si grazie e arrivederci,pireagi
Le auguro una buona giornata,sareat ora io come bar
Buongiorno io sono Mario,brungi mario
Buonasera io sono Mario,prego io costa mario
Piacere Luigi come stai,picereoi io si e stai
Tutto bene tu,a gratsi le io
