Truth,Decoded
Salve quanto costa quell articolo,stai mario costa
E in offerta costa dieci euro,pierazie io
Tutto bene grazie,prego io grazie
Prendiamo un caffe al bar,perendaoa un caffe lo e
"Certo volentieri, io lo prendero macchiato",pretar
A che ora arriva il pullman,pereateo io un pumiar
Dovrebbe arrivare tra qualche minuto,prego io grere certo
Quanto costa il biglietto,pero io
Purtroppo non lo so pero potresti chiedere all autista,perftone io autista
Va bene grazie lo stesso,a a e io cltinto
Prego,prego
Perfetto vorrei comprarne due.,prfet oereiarien lei
Certo ecco a lei vuole un sacchetto,a grazie sono
Si grazie e arrivederci,pireti
Le auguro una buona giornata,perfetto mario io cmrle lo
Buongiorno io sono Mario,prego io mario
Buonasera io sono Mario,prego io io a
Piacere Luigi come stai,pierei io e stai
Tutto bene tu,srats le e
