Truth,Decoded
Salve quanto costa quell articolo,a lei uarococto
E in offerta costa dieci euro,io grazie e
Tutto bene grazie,piret a a
Prendiamo un caffe al bar,pvrenamo a caffe lo bar
"Certo volentieri, io lo prendero macchiato",pratar
A che ora arriva il pullman,e reaio due bar
Dovrebbe arrivare tra qualche minuto,pereneno io grazie io
Quanto costa il biglietto,pieratrai
Purtroppo non lo so pero potresti chiedere all autista,prfat io e io e una
Va bene grazie lo stesso,si grazie lei
Prego,prego
Perfetto vorrei comprarne due.,pierete io eriar lo
Certo ecco a lei vuole un sacchetto,a renido si io io
Si grazie e arrivederci,piregai
Le auguro una buona giornata,prfetoaro io come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,preniri io so a
Piacere Luigi come stai,piereio io e e stai
Tutto bene tu,sigrazisi e si
