Truth,Decoded
Salve quanto costa quell articolo,lei euro io stai e articolo
E in offerta costa dieci euro,bene offerta costa dieci euro
Tutto bene grazie,tutto bene io grazie
Prendiamo un caffe al bar,prendiamo un e al bar
"Certo volentieri, io lo prendero macchiato",bene io reivrio lo prenderompachato
A che ora arriva il pullman,a che a mario il il a
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,tutto a bilie io
Purtroppo non lo so pero potresti chiedere all autista,ptotonronso io io io otistihrehe a
Va bene grazie lo stesso,dovbenberze lo stesso
Prego,prego
Perfetto vorrei comprarne due.,pero vorrei comprarnedue
Certo ecco a lei vuole un sacchetto,certo io a lei vuole un salve io
Si grazie e arrivederci,va e tra rsre ederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buguonoroni io sono mario
Buonasera io sono Mario,sono tra io sono grazie
Piacere Luigi come stai,piacere io stai
Tutto bene tu,tutto bene tu
