Truth,Decoded
Salve quanto costa quell articolo,a leiuagro certo
E in offerta costa dieci euro,e grazie e
Tutto bene grazie,prego a
Prendiamo un caffe al bar,prenamoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e raeracri le e
Dovrebbe arrivare tra qualche minuto,bene io io grlroe tutto
Quanto costa il biglietto,prego
Purtroppo non lo so pero potresti chiedere all autista,tra io
Va bene grazie lo stesso,a a io io
Prego,sigrazgr
Perfetto vorrei comprarne due.,prego rocrarino
Certo ecco a lei vuole un sacchetto,e raitle io
Si grazie e arrivederci,pireagr
Le auguro una buona giornata,a rfetquoaro io io le a
Buongiorno io sono Mario,luigi io mario
Buonasera io sono Mario,prego io sono a
Piacere Luigi come stai,piacere io e stai
Tutto bene tu,a a le io
