Truth,Decoded
Salve quanto costa quell articolo,salve quanto io stai il articolo
E in offerta costa dieci euro,in offerta costa dieci euro
Tutto bene grazie,tutto bene grazie
Prendiamo un caffe al bar,prenedia un e al bar
"Certo volentieri, io lo prendero macchiato",bene io e reierio lo prenderomachiato
A che ora arriva il pullman,a che ora mario il pullman
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,tuatcsta il biglietto
Purtroppo non lo so pero potresti chiedere all autista,prtononso popotrstichiehe io
Va bene grazie lo stesso,voavbenbegrize lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo io a lei vuole un salve io
Si grazie e arrivederci,va e tra risevederci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,bruonoiorni io sono mario
Buonasera io sono Mario,buonasera io sono mario
Piacere Luigi come stai,piacere come stai
Tutto bene tu,tu bene tu
