Truth,Decoded
Salve quanto costa quell articolo,si rageto
E in offerta costa dieci euro,io grazie si
Tutto bene grazie,io tu si
Prendiamo un caffe al bar,sarea a a e certo
"Certo volentieri, io lo prendero macchiato",io gruei
A che ora arriva il pullman,io e e si
Dovrebbe arrivare tra qualche minuto,srant io che io
Quanto costa il biglietto,si grueti
Purtroppo non lo so pero potresti chiedere all autista,io gret auti
Va bene grazie lo stesso,piagru e un
Prego,piagruzr
Perfetto vorrei comprarne due.,pirue e e e un
Certo ecco a lei vuole un sacchetto,si grazie si
Si grazie e arrivederci,io tu autzi
Le auguro una buona giornata,io gruzr e e autista
Buongiorno io sono Mario,pigrueatr
Buonasera io sono Mario,preatr
Piacere Luigi come stai,piacere e utiti
Tutto bene tu,si grazie e
