Truth,Decoded
Salve quanto costa quell articolo,a letuagro costa
E in offerta costa dieci euro,si grazie e io
Tutto bene grazie,e io a
Prendiamo un caffe al bar,prendaoa un caffe al bar
"Certo volentieri, io lo prendero macchiato",pretai
A che ora arriva il pullman,e raeri lo un
Dovrebbe arrivare tra qualche minuto,prego io grlroe io
Quanto costa il biglietto,e a si
Purtroppo non lo so pero potresti chiedere all autista,prego e lo autista
Va bene grazie lo stesso,a a io io
Prego,prego
Perfetto vorrei comprarne due.,grazie voearo in
Certo ecco a lei vuole un sacchetto,e tra e io
Si grazie e arrivederci,piregai
Le auguro una buona giornata,a retquanto io come lo
Buongiorno io sono Mario,prungi io mario
Buonasera io sono Mario,prego io e sono a
Piacere Luigi come stai,piacere io e stai
Tutto bene tu,a a le si
