Truth,Decoded
Salve quanto costa quell articolo,sragrto
E in offerta costa dieci euro,pigruiego
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prfentdao a che bar
"Certo volentieri, io lo prendero macchiato",piretr
A che ora arriva il pullman,si e a
Dovrebbe arrivare tra qualche minuto,prego io frelie che
Quanto costa il biglietto,pigruti
Purtroppo non lo so pero potresti chiedere all autista,pigrete
Va bene grazie lo stesso,sigre e
Prego,pigruar
Perfetto vorrei comprarne due.,pero due e
Certo ecco a lei vuole un sacchetto,grazie io
Si grazie e arrivederci,pireazie
Le auguro una buona giornata,piretr io a
Buongiorno io sono Mario,preario
Buonasera io sono Mario,prego a
Piacere Luigi come stai,pirerear
Tutto bene tu,pirezie lo si
