Truth,Decoded
Salve quanto costa quell articolo,a reiuaro coctro
E in offerta costa dieci euro,si grazie io
Tutto bene grazie,sret io grazie
Prendiamo un caffe al bar,pvrendao un caffe al bar
"Certo volentieri, io lo prendero macchiato",pratar
A che ora arriva il pullman,e reaieo a pumar
Dovrebbe arrivare tra qualche minuto,prendero io grazie tutto
Quanto costa il biglietto,pero mario
Purtroppo non lo so pero potresti chiedere all autista,pero ora
Va bene grazie lo stesso,si a io tutto
Prego,piragi
Perfetto vorrei comprarne due.,prego io reiarin due
Certo ecco a lei vuole un sacchetto,e grazie costa
Si grazie e arrivederci,piretari
Le auguro una buona giornata,parfetoaro come come lo
Buongiorno io sono Mario,pruongio so mario
Buonasera io sono Mario,prenioi io so mario
Piacere Luigi come stai,pierenio si e stai
Tutto bene tu,stai a lo tra
