Truth,Decoded
Salve quanto costa quell articolo,saleuaro costa
E in offerta costa dieci euro,si grazie
Tutto bene grazie,prego un a
Prendiamo un caffe al bar,pvrenamoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,e lei dieci bar
Dovrebbe arrivare tra qualche minuto,prego si grazie tutto
Quanto costa il biglietto,prego
Purtroppo non lo so pero potresti chiedere all autista,pero un lo autista
Va bene grazie lo stesso,e a io lo
Prego,prego
Perfetto vorrei comprarne due.,prego oreiar lei
Certo ecco a lei vuole un sacchetto,e grazie io
Si grazie e arrivederci,prego
Le auguro una buona giornata,parfetuoro io come bar
Buongiorno io sono Mario,pregioario
Buonasera io sono Mario,prego io sono a
Piacere Luigi come stai,piacere io e e stai
Tutto bene tu,sratsi le io
