Truth,Decoded
Salve quanto costa quell articolo,salve mario io
E in offerta costa dieci euro,io grazie e io
Tutto bene grazie,siret e grazie
Prendiamo un caffe al bar,pvrendaoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",piretar
A che ora arriva il pullman,si reaie e e bar
Dovrebbe arrivare tra qualche minuto,prendero io grazie certo
Quanto costa il biglietto,peretrtori
Purtroppo non lo so pero potresti chiedere all autista,pierftoge come autista
Va bene grazie lo stesso,si greazt e io lo
Prego,prego
Perfetto vorrei comprarne due.,pirete euro creriare io
Certo ecco a lei vuole un sacchetto,a graitigi io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prfetoaro io come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,preniri io io a
Piacere Luigi come stai,piacere io si lei e stai
Tutto bene tu,sraztrsi le stai
