Truth,Decoded
Salve quanto costa quell articolo,sraugr io
E in offerta costa dieci euro,pigraziegi
Tutto bene grazie,pigreti
Prendiamo un caffe al bar,prendaoa a caffe bar
"Certo volentieri, io lo prendero macchiato",piretr
A che ora arriva il pullman,si grezerct e lei
Dovrebbe arrivare tra qualche minuto,prego io relie lo
Quanto costa il biglietto,piruti
Purtroppo non lo so pero potresti chiedere all autista,pigretl autista
Va bene grazie lo stesso,sigretiti
Prego,pigrugi
Perfetto vorrei comprarne due.,prego e reluie
Certo ecco a lei vuole un sacchetto,a grazie lei
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego io come io
Buongiorno io sono Mario,tu mario
Buonasera io sono Mario,prego io a
Piacere Luigi come stai,pierei ietiai
Tutto bene tu,sigrazi stai le si
