Truth,Decoded
Salve quanto costa quell articolo,sragrto
E in offerta costa dieci euro,pigrei e
Tutto bene grazie,pigreai
Prendiamo un caffe al bar,prfet io a all all
"Certo volentieri, io lo prendero macchiato",pigreati
A che ora arriva il pullman,pero e a
Dovrebbe arrivare tra qualche minuto,prego irale io
Quanto costa il biglietto,pigruti
Purtroppo non lo so pero potresti chiedere all autista,pigretiti
Va bene grazie lo stesso,pigrea io
Prego,pigruai
Perfetto vorrei comprarne due.,pero e io io
Certo ecco a lei vuole un sacchetto,si graiui lei
Si grazie e arrivederci,pigreai
Le auguro una buona giornata,piretr io ciatr
Buongiorno io sono Mario,preario
Buonasera io sono Mario,preirar
Piacere Luigi come stai,piereireiai
Tutto bene tu,pigrezize a si
