Truth,Decoded
Salve quanto costa quell articolo,salve a quanto io costa quell articolo
E in offerta costa dieci euro,io offerta costa dieci euro
Tutto bene grazie,tutto bene io grazie
Prendiamo un caffe al bar,prenedia un mofre lo bar
"Certo volentieri, io lo prendero macchiato",certo io va tierio lo prenderompachato
A che ora arriva il pullman,a che ora mario il pulra
Dovrebbe arrivare tra qualche minuto,dovrebbe arrivare tra qualche minuto
Quanto costa il biglietto,tutto a bielie so
Purtroppo non lo so pero potresti chiedere all autista,prtononso io io otrstishiehe io
Va bene grazie lo stesso,voavrenberize lo stesso
Prego,prego
Perfetto vorrei comprarne due.,perfetto vorrei comprarne due
Certo ecco a lei vuole un sacchetto,certo io a lei vuole un salve io
Si grazie e arrivederci,a e tra rivededci
Le auguro una buona giornata,le auguro una buona giornata
Buongiorno io sono Mario,buronoiorni io sono mario
Buonasera io sono Mario,tonoasera io sono mario
Piacere Luigi come stai,piacere come stai
Tutto bene tu,tutto bene tu
