Truth,Decoded
Salve quanto costa quell articolo,siarugrto
E in offerta costa dieci euro,piagrueti
Tutto bene grazie,piareti
Prendiamo un caffe al bar,tra a a e clemta
"Certo volentieri, io lo prendero macchiato",piagrui
A che ora arriva il pullman,piagreti
Dovrebbe arrivare tra qualche minuto,siarunt il lo
Quanto costa il biglietto,io gruetr
Purtroppo non lo so pero potresti chiedere all autista,io e due
Va bene grazie lo stesso,piacere e
Prego,piagrutr
Perfetto vorrei comprarne due.,piarue e e e io
Certo ecco a lei vuole un sacchetto,piagreze io
Si grazie e arrivederci,io grazie
Le auguro una buona giornata,piagrueti
Buongiorno io sono Mario,pigretr
Buonasera io sono Mario,piretatr
Piacere Luigi come stai,piareti
Tutto bene tu,piagruze e
