Truth,Decoded
Salve quanto costa quell articolo,a laiuagro costa
E in offerta costa dieci euro,si grazie e io
Tutto bene grazie,e e io stai
Prendiamo un caffe al bar,pvrendamoa un caffe lo bar
"Certo volentieri, io lo prendero macchiato",preatoar
A che ora arriva il pullman,e io roace e un
Dovrebbe arrivare tra qualche minuto,prego io grazie euro
Quanto costa il biglietto,pero si
Purtroppo non lo so pero potresti chiedere all autista,perfat io e lo e costa
Va bene grazie lo stesso,e a io io lei
Prego,prego
Perfetto vorrei comprarne due.,prego oceiaron due
Certo ecco a lei vuole un sacchetto,a raido un le lei
Si grazie e arrivederci,pireari
Le auguro una buona giornata,parfeatuoaro io come bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prenioio io so a
Piacere Luigi come stai,piacere io io e e stai
Tutto bene tu,a stai le io
