Truth,Decoded
Salve quanto costa quell articolo,prego io
E in offerta costa dieci euro,pigreti e e
Tutto bene grazie,pireti
Prendiamo un caffe al bar,prentdamoa a caffe bar
"Certo volentieri, io lo prendero macchiato",prego
A che ora arriva il pullman,si e e e a
Dovrebbe arrivare tra qualche minuto,preneon io e le io
Quanto costa il biglietto,prego
Purtroppo non lo so pero potresti chiedere all autista,pigreteta
Va bene grazie lo stesso,sirete lo io
Prego,pigregr
Perfetto vorrei comprarne due.,preteoe e e io
Certo ecco a lei vuole un sacchetto,a grazie io io
Si grazie e arrivederci,pireai
Le auguro una buona giornata,prego ora io come bar
Buongiorno io sono Mario,e mario
Buonasera io sono Mario,pretin io a
Piacere Luigi come stai,piereoio io e bene stai
Tutto bene tu,sgraztsto le io
