Truth,Decoded
Salve quanto costa quell articolo,e vatuanercosto
E in offerta costa dieci euro,e grazie
Tutto bene grazie,e grazie
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",prutiar
A che ora arriva il pullman,e grazie rovre a
Dovrebbe arrivare tra qualche minuto,bene covgrere certo
Quanto costa il biglietto,pratiti
Purtroppo non lo so pero potresti chiedere all autista,prego e e e autista
Va bene grazie lo stesso,e ratreiegito
Prego,prego
Perfetto vorrei comprarne due.,grazie eoreririe lo
Certo ecco a lei vuole un sacchetto,e graiere aoasieto
Si grazie e arrivederci,sirerai
Le auguro una buona giornata,perfetto tutto come artar
Buongiorno io sono Mario,buogio mario
Buonasera io sono Mario,prinio io sono mario
Piacere Luigi come stai,pero lo stai
Tutto bene tu,rutoeneo lo
