Truth,Decoded
Salve quanto costa quell articolo,si grazie uaercocsteo
E in offerta costa dieci euro,si grazie
Tutto bene grazie,si e grte
Prendiamo un caffe al bar,prendiamo un come al bar
"Certo volentieri, io lo prendero macchiato",grazie
A che ora arriva il pullman,si grazie rife e
Dovrebbe arrivare tra qualche minuto,vrbent io ciovgrerieto
Quanto costa il biglietto,pirateti
Purtroppo non lo so pero potresti chiedere all autista,prego e e il autista
Va bene grazie lo stesso,si grairieto
Prego,si grazie
Perfetto vorrei comprarne due.,e grazie eoerie io
Certo ecco a lei vuole un sacchetto,si graievo atasieico
Si grazie e arrivederci,si lei
Le auguro una buona giornata,piaereuoneto a cimvme a
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,prini lo so mario
Piacere Luigi come stai,pierel io gicmoe stai
Tutto bene tu,e ratle io
