Truth,Decoded
Salve quanto costa quell articolo,a lei aerococtseo
E in offerta costa dieci euro,pegraiegr
Tutto bene grazie,e io io a
Prendiamo un caffe al bar,perendao un caffe al bar
"Certo volentieri, io lo prendero macchiato",pruiar
A che ora arriva il pullman,grazie arriva e a
Dovrebbe arrivare tra qualche minuto,bene io grazie certo
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,certo e a
Va bene grazie lo stesso,e grairi lo
Prego,pirei
Perfetto vorrei comprarne due.,pero io eriaie lo
Certo ecco a lei vuole un sacchetto,e graivi gaoa vier
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,saretoarocoa come tra
Buongiorno io sono Mario,preoaio
Buonasera io sono Mario,prini io sono a
Piacere Luigi come stai,pereni si io e stai
Tutto bene tu,tra io e lo
