Truth,Decoded
Salve quanto costa quell articolo,a reaiuartroco
E in offerta costa dieci euro,pegraziegi
Tutto bene grazie,e a
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",preatar
A che ora arriva il pullman,grazie ariae e bar
Dovrebbe arrivare tra qualche minuto,bene io grazie che
Quanto costa il biglietto,prati
Purtroppo non lo so pero potresti chiedere all autista,prego e come autista
Va bene grazie lo stesso,e mario
Prego,pero
Perfetto vorrei comprarne due.,tra oracilr
Certo ecco a lei vuole un sacchetto,e grenoa si a si
Si grazie e arrivederci,prego
Le auguro una buona giornata,parfetuaro lo caffe bar
Buongiorno io sono Mario,prego mario
Buonasera io sono Mario,prego bar
Piacere Luigi come stai,pero io si come stai
Tutto bene tu,a io
