Truth,Decoded
Salve quanto costa quell articolo,a lei atrocti
E in offerta costa dieci euro,si grazie
Tutto bene grazie,pero
Prendiamo un caffe al bar,prendiamo a caffe al bar
"Certo volentieri, io lo prendero macchiato",pruar
A che ora arriva il pullman,e grazie mario e a
Dovrebbe arrivare tra qualche minuto,e bene io grazie lo
Quanto costa il biglietto,e stai
Purtroppo non lo so pero potresti chiedere all autista,pero a
Va bene grazie lo stesso,e mario lo
Prego,pgrei
Perfetto vorrei comprarne due.,e grazie roerilr
Certo ecco a lei vuole un sacchetto,e grazie sono
Si grazie e arrivederci,pirerai
Le auguro una buona giornata,pero io lo a come tra
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,pgranir e sono io
Piacere Luigi come stai,pero io si io e stai
Tutto bene tu,a io io
