Truth,Decoded
Salve quanto costa quell articolo,sregrto
E in offerta costa dieci euro,pigruiei
Tutto bene grazie,sigreti
Prendiamo un caffe al bar,perenao a come bar
"Certo volentieri, io lo prendero macchiato",pgreti
A che ora arriva il pullman,si grer e a
Dovrebbe arrivare tra qualche minuto,bene io grazie io
Quanto costa il biglietto,e tutto
Purtroppo non lo so pero potresti chiedere all autista,piegretr una
Va bene grazie lo stesso,e e io lo
Prego,pigregi
Perfetto vorrei comprarne due.,pero erarele
Certo ecco a lei vuole un sacchetto,e grazie lei
Si grazie e arrivederci,pireai
Le auguro una buona giornata,e pero io a
Buongiorno io sono Mario,prego
Buonasera io sono Mario,pero io a
Piacere Luigi come stai,pero io io stai
Tutto bene tu,e grazie e lo
