Truth,Decoded
Salve quanto costa quell articolo,si lei a coctei
E in offerta costa dieci euro,si grazie
Tutto bene grazie,si e grti
Prendiamo un caffe al bar,prendiamo un caffe al bar
"Certo volentieri, io lo prendero macchiato",pireatiear
A che ora arriva il pullman,e reaie rife e un
Dovrebbe arrivare tra qualche minuto,dvrent io agrie certo
Quanto costa il biglietto,piruati
Purtroppo non lo so pero potresti chiedere all autista,minuto e lo bene euro autista
Va bene grazie lo stesso,si grairigieto
Prego,si grazie
Perfetto vorrei comprarne due.,si grazie pero ceriariec lo
Certo ecco a lei vuole un sacchetto,si graieaei acieco
Si grazie e arrivederci,si stai
Le auguro una buona giornata,piaereto lo io a cimvle artar
Buongiorno io sono Mario,prego io
Buonasera io sono Mario,prego lo sono mario
Piacere Luigi come stai,pieren io dieci come stai
Tutto bene tu,sruatle lo lo
